Provider,total_claims,unique_patients,unique_physicians,inpatient_claims,outpatient_claims,avg_claim_amount,total_claim_amount,max_claim_amount,avg_deductible,avg_hospital_stay,max_hospital_stay,avg_claim_duration,unique_diagnosis_1,unique_diagnosis_2,unique_diagnosis_3,avg_patient_age,deceased_patient_rate,chronic_alzheimer,chronic_heartfailure,chronic_kidney,chronic_cancer,chronic_diabetes,claims_per_patient,claims_per_physician,inpatient_ratio,diagnosis_diversity,PotentialFraud,FraudProbability,RiskCategory,PredictedFraud
PRV51035,30,25,18,1,29,1085.3333333333333,32560,29000,47.6,0.4666666666666667,14.0,2.2666666666666666,24,16,10,73.43333333333334,0.0,1.7333333333333334,1.4,1.4,1.8666666666666667,1.2666666666666666,1.2,1.6666666666666667,0.03333333333333333,0.8,0,0.0265,Low,0
PRV51036,278,131,5,0,278,269.3525179856115,74880,4400,5.071942446043166,0.0,0.0,1.0503597122302157,241,122,86,72.18705035971223,0.0,1.643884892086331,1.4280575539568345,1.6079136690647482,1.8884892086330936,1.276978417266187,2.122137404580153,55.6,0.0,0.8669064748201439,0,0.0659,Low,0
PRV51037,454,206,3,23,431,753.8105726872246,342230,23000,56.220264317180614,0.23127753303964757,17.0,1.5330396475770924,367,170,125,71.46035242290749,0.022026431718061675,1.5704845814977975,1.4030837004405285,1.6013215859030836,1.7709251101321586,1.3149779735682818,2.203883495145631,151.33333333333334,0.05066079295154185,0.8083700440528634,1,0.9578,Critical,1
PRV51038,141,107,44,30,111,1882.9078014184397,265490,17000,221.21985815602838,0.8581560283687943,24.0,1.7801418439716312,123,69,60,71.12056737588652,0.0070921985815602835,1.50354609929078,1.375886524822695,1.5390070921985815,1.8085106382978724,1.2269503546099292,1.3177570093457944,3.2045454545454546,0.2127659574468085,0.8723404255319149,0,0.3425,Medium,0
PRV51040,86,69,15,9,77,865.9302325581396,74470,21000,102.13953488372093,1.1046511627906976,33.0,1.6627906976744187,78,51,37,70.79069767441861,0.011627906976744186,1.5930232558139534,1.372093023255814,1.6162790697674418,1.9186046511627908,1.2674418604651163,1.2463768115942029,5.733333333333333,0.10465116279069768,0.9069767441860465,0,0.1576,Low,0
PRV51041,34,31,9,0,34,217.94117647058823,7410,3200,7.9411764705882355,0.0,0.0,2.3529411764705883,33,18,12,69.88235294117646,0.0,1.5294117647058822,1.5,1.7941176470588236,1.7058823529411764,1.3529411764705883,1.096774193548387,3.7777777777777777,0.0,0.9705882352941176,0,0.002,Low,0
PRV51042,142,128,52,0,142,338.38028169014086,48050,3300,2.183098591549296,0.0,0.0,1.232394366197183,128,63,47,72.16901408450704,0.0,1.647887323943662,1.4788732394366197,1.591549295774648,1.8591549295774648,1.3873239436619718,1.109375,2.730769230769231,0.0,0.9014084507042254,0,0.0073,Low,0
PRV51043,23,20,6,0,23,194.7826086956522,4480,1100,0.0,0.0,0.0,0.0,23,11,5,73.65217391304348,0.0,1.6521739130434783,1.3043478260869565,1.6956521739130435,1.8695652173913044,1.2173913043478262,1.15,3.8333333333333335,0.0,1.0,0,0.0027,Low,0
PRV51044,59,39,1,0,59,361.52542372881356,21330,3300,2.2033898305084745,0.0,0.0,2.152542372881356,55,32,21,68.77966101694915,0.0,1.6271186440677967,1.423728813559322,1.4915254237288136,1.88135593220339,1.4067796610169492,1.5128205128205128,59.0,0.0,0.9322033898305084,0,0.0026,Low,0
PRV51045,31,29,16,0,31,270.64516129032256,8390,3300,1.2903225806451613,0.0,0.0,2.2580645161290325,30,20,9,70.93548387096774,0.0,1.4838709677419355,1.4516129032258065,1.5161290322580645,1.903225806451613,1.2580645161290323,1.0689655172413792,1.9375,0.0,0.967741935483871,0,0.0009,Low,0
PRV51046,38,26,6,8,30,2878.157894736842,109370,38000,227.47368421052633,0.9473684210526315,9.0,1.631578947368421,34,22,17,71.73684210526316,0.0,1.631578947368421,1.4473684210526316,1.6842105263157894,1.6578947368421053,1.1842105263157894,1.4615384615384615,6.333333333333333,0.21052631578947367,0.8947368421052632,0,0.0118,Low,0
PRV51047,11,11,10,0,11,230.0,2530,1300,0.0,0.0,0.0,3.090909090909091,11,6,3,70.0,0.0,1.7272727272727273,1.4545454545454546,1.6363636363636365,2.0,1.3636363636363635,1.0,1.1,0.0,1.0,0,0.0007,Low,0
PRV51048,38,33,15,4,34,728.9473684210526,27700,7000,114.52631578947368,0.5,10.0,0.6052631578947368,35,22,16,69.89473684210526,0.0,1.4210526315789473,1.4210526315789473,1.631578947368421,1.868421052631579,1.1578947368421053,1.1515151515151516,2.533333333333333,0.10526315789473684,0.9210526315789473,0,0.056,Low,0
PRV51049,71,65,35,0,71,305.9154929577465,21720,3300,2.676056338028169,0.0,0.0,1.7887323943661972,65,42,20,70.35211267605634,0.0,1.5352112676056338,1.3661971830985915,1.5774647887323943,1.8169014084507042,1.3098591549295775,1.0923076923076922,2.0285714285714285,0.0,0.9154929577464789,0,0.0006,Low,0
PRV51052,46,37,17,2,44,669.5652173913044,30800,9000,51.0,0.391304347826087,14.0,2.282608695652174,44,23,18,71.15217391304348,0.0,1.673913043478261,1.3695652173913044,1.608695652173913,1.8695652173913044,1.4130434782608696,1.2432432432432432,2.7058823529411766,0.043478260869565216,0.9565217391304348,1,0.8773,Critical,1
PRV51053,1,1,1,1,0,8000.0,8000,8000,1068.0,5.0,5.0,5.0,1,1,1,68.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0,0.0008,Low,0
PRV51054,57,40,3,0,57,265.43859649122805,15130,1900,2.456140350877193,0.0,0.0,2.3508771929824563,54,30,22,69.94736842105263,0.0,1.631578947368421,1.5087719298245614,1.5614035087719298,1.9649122807017543,1.4912280701754386,1.425,19.0,0.0,0.9473684210526315,0,0.0026,Low,0
PRV51055,22,22,6,2,20,983.6363636363636,21640,16000,100.27272727272727,0.5,6.0,0.5909090909090909,22,16,9,68.18181818181819,0.0,1.5454545454545454,1.3181818181818181,1.6363636363636365,1.8181818181818181,1.5,1.0,3.6666666666666665,0.09090909090909091,1.0,0,0.0089,Low,0
PRV51056,22,21,5,2,20,668.1818181818181,14700,5000,97.54545454545455,0.2727272727272727,5.0,0.7272727272727273,22,15,11,76.31818181818181,0.0,1.5454545454545454,1.4090909090909092,1.3181818181818181,1.7727272727272727,1.0909090909090908,1.0476190476190477,4.4,0.09090909090909091,1.0,0,0.0089,Low,0
PRV51057,5,4,1,0,5,1366.0,6830,3300,0.0,0.0,0.0,0.0,5,4,2,77.8,0.0,2.0,1.2,1.8,1.6,1.8,1.25,5.0,0.0,1.0,0,0.002,Low,0
PRV51058,83,75,31,5,78,1289.5180722891566,107030,57000,66.74698795180723,0.4457831325301205,16.0,1.3012048192771084,70,52,37,73.0,0.0,1.6265060240963856,1.4698795180722892,1.5903614457831325,1.891566265060241,1.2530120481927711,1.1066666666666667,2.6774193548387095,0.060240963855421686,0.8433734939759037,0,0.0328,Low,0
PRV51059,96,82,30,25,71,4386.041666666667,421060,57000,280.625,1.7916666666666667,35.0,2.4791666666666665,88,55,43,73.65625,0.0,1.6770833333333333,1.3541666666666667,1.6041666666666667,1.84375,1.3541666666666667,1.170731707317073,3.2,0.2604166666666667,0.9166666666666666,1,0.9256,Critical,1
PRV51060,42,42,28,5,37,1040.7142857142858,43710,14000,127.14285714285714,0.5714285714285714,9.0,2.3095238095238093,42,23,18,70.85714285714286,0.0,1.619047619047619,1.4047619047619047,1.5476190476190477,1.8571428571428572,1.2142857142857142,1.0,1.5,0.11904761904761904,1.0,0,0.0143,Low,0
PRV51061,145,67,6,1,144,378.8965517241379,54940,6700,9.158620689655173,0.05517241379310345,8.0,2.393103448275862,135,68,45,76.55172413793103,0.0,1.7517241379310344,1.5724137931034483,1.6,1.8551724137931034,1.2758620689655173,2.1641791044776117,24.166666666666668,0.006896551724137931,0.9310344827586207,0,0.0239,Low,0
PRV51062,397,166,6,3,394,386.3476070528967,153380,25000,9.934508816120907,0.0327455919395466,6.0,1.5969773299748111,322,165,107,72.3425692695214,0.0,1.5591939546599496,1.3929471032745593,1.521410579345088,1.8287153652392947,1.256926952141058,2.391566265060241,66.16666666666667,0.007556675062972292,0.8110831234256927,0,0.217,Low,0
PRV51063,149,115,3,0,149,343.02013422818794,51110,3300,1.0738255033557047,0.0,0.0,1.610738255033557,141,70,51,68.93288590604027,0.006711409395973154,1.5771812080536913,1.389261744966443,1.5436241610738255,1.8724832214765101,1.2953020134228188,1.2956521739130435,49.666666666666664,0.0,0.9463087248322147,0,0.0068,Low,0
PRV51064,303,227,111,36,267,1189.1749174917493,360320,37000,128.54125412541254,0.6303630363036303,29.0,1.9504950495049505,253,133,111,72.4983498349835,0.0033003300330033004,1.636963696369637,1.3696369636963697,1.5412541254125414,1.8712871287128714,1.2706270627062706,1.3348017621145374,2.72972972972973,0.1188118811881188,0.834983498349835,1,0.9647,Critical,1
PRV51065,28,26,9,10,18,2734.6428571428573,76570,11000,347.2142857142857,2.0,17.0,2.9285714285714284,27,20,17,74.67857142857143,0.0,1.5714285714285714,1.3214285714285714,1.6428571428571428,1.9642857142857142,1.2857142857142858,1.0769230769230769,3.111111111111111,0.35714285714285715,0.9642857142857143,0,0.0363,Low,0
PRV51066,24,21,7,2,22,1032.9166666666667,24790,15000,93.16666666666667,0.16666666666666666,3.0,1.0833333333333333,23,15,11,68.125,0.041666666666666664,1.5,1.4166666666666667,1.7083333333333333,1.9166666666666667,1.4583333333333333,1.1428571428571428,3.4285714285714284,0.08333333333333333,0.9583333333333334,0,0.0043,Low,0
PRV51067,58,49,21,12,46,5767.586206896552,334520,83000,225.79310344827587,1.3620689655172413,23.0,2.310344827586207,54,34,28,67.46551724137932,0.0,1.706896551724138,1.3620689655172413,1.5689655172413792,1.793103448275862,1.293103448275862,1.183673469387755,2.761904761904762,0.20689655172413793,0.9310344827586207,1,0.9756,Critical,1
PRV51068,261,214,79,9,252,548.8888888888889,143260,19000,34.42145593869732,0.10344827586206896,6.0,1.3754789272030652,223,128,89,70.27969348659003,0.011494252873563218,1.6206896551724137,1.4252873563218391,1.6130268199233717,1.8505747126436782,1.2873563218390804,1.219626168224299,3.3037974683544302,0.034482758620689655,0.8544061302681992,0,0.0336,Low,0
PRV51070,99,69,46,10,89,1266.7676767676767,125410,22000,110.9090909090909,0.41414141414141414,15.0,1.9090909090909092,91,53,36,69.4949494949495,0.0,1.707070707070707,1.4545454545454546,1.6363636363636365,1.8282828282828283,1.292929292929293,1.434782608695652,2.152173913043478,0.10101010101010101,0.9191919191919192,0,0.0731,Low,0
PRV51071,24,24,11,0,24,356.25,8550,3200,2.0833333333333335,0.0,0.0,2.0833333333333335,20,18,8,68.08333333333333,0.0,1.5,1.4166666666666667,1.6666666666666667,1.9166666666666667,1.25,1.0,2.1818181818181817,0.0,0.8333333333333334,0,0.001,Low,0
PRV51072,212,160,47,12,200,562.122641509434,119170,14000,57.443396226415096,0.24056603773584906,13.0,1.5377358490566038,185,98,81,71.89150943396227,0.018867924528301886,1.6415094339622642,1.4433962264150944,1.5566037735849056,1.8820754716981132,1.259433962264151,1.325,4.51063829787234,0.05660377358490566,0.8726415094339622,0,0.1639,Low,0
PRV51074,39,39,14,5,34,1055.6410256410256,41170,15000,138.97435897435898,0.3333333333333333,4.0,1.8974358974358974,37,29,17,72.51282051282051,0.0,1.6153846153846154,1.4102564102564104,1.5384615384615385,1.8461538461538463,1.2820512820512822,1.0,2.7857142857142856,0.1282051282051282,0.9487179487179487,0,0.0124,Low,0
PRV51075,17,13,4,0,17,502.94117647058823,8550,3000,4.117647058823529,0.0,0.0,1.1764705882352942,17,12,4,76.29411764705883,0.0,1.8235294117647058,1.6470588235294117,1.7647058823529411,1.588235294117647,1.1764705882352942,1.3076923076923077,4.25,0.0,1.0,0,0.0008,Low,0
PRV51076,29,27,8,0,29,352.7586206896552,10230,3300,1.7241379310344827,0.0,0.0,1.1724137931034482,28,15,10,75.24137931034483,0.034482758620689655,1.5517241379310345,1.4137931034482758,1.5862068965517242,1.7241379310344827,1.2413793103448276,1.0740740740740742,3.625,0.0,0.9655172413793104,0,0.0023,Low,0
PRV51077,33,30,11,16,17,6192.424242424242,204350,56000,491.5151515151515,2.878787878787879,19.0,4.181818181818182,31,23,19,69.96969696969697,0.0,1.5151515151515151,1.2727272727272727,1.393939393939394,1.8484848484848484,1.1515151515151516,1.1,3.0,0.48484848484848486,0.9393939393939394,1,0.9347,Critical,1
PRV51078,23,23,13,9,14,3403.0434782608695,78270,16000,375.82608695652175,2.608695652173913,21.0,2.652173913043478,22,16,14,70.26086956521739,0.0,1.6956521739130435,1.391304347826087,1.6956521739130435,1.8695652173913044,1.3043478260869565,1.0,1.7692307692307692,0.391304347826087,0.9565217391304348,0,0.1885,Low,0
PRV51081,200,131,3,6,194,620.4,124080,48000,35.84,0.18,10.0,1.62,176,94,76,71.79,0.005,1.52,1.36,1.48,1.915,1.33,1.5267175572519085,66.66666666666667,0.03,0.88,0,0.0211,Low,0
PRV51082,34,31,9,0,34,160.88235294117646,5470,1000,2.0588235294117645,0.0,0.0,1.1764705882352942,30,23,13,72.08823529411765,0.0,1.588235294117647,1.5588235294117647,1.6176470588235294,1.9411764705882353,1.1470588235294117,1.096774193548387,3.7777777777777777,0.0,0.8823529411764706,0,0.001,Low,0
PRV51083,90,81,18,0,90,201.11111111111111,18100,3300,1.5555555555555556,0.0,0.0,1.3777777777777778,84,47,27,74.33333333333333,0.0,1.5888888888888888,1.3888888888888888,1.5222222222222221,1.8555555555555556,1.2777777777777777,1.1111111111111112,5.0,0.0,0.9333333333333333,0,0.0036,Low,0
PRV51084,110,85,32,20,90,1959.8181818181818,215580,45000,199.0,1.0272727272727273,28.0,1.6727272727272726,94,52,44,71.87272727272727,0.0,1.5363636363636364,1.4090909090909092,1.6181818181818182,1.9181818181818182,1.209090909090909,1.2941176470588236,3.4375,0.18181818181818182,0.8545454545454545,1,0.927,Critical,1
PRV51086,139,115,24,31,108,3209.856115107914,446170,57000,238.61870503597123,1.079136690647482,11.0,2.7985611510791366,125,80,63,74.16546762589928,0.014388489208633094,1.669064748201439,1.4316546762589928,1.525179856115108,1.8489208633093526,1.2805755395683454,1.208695652173913,5.791666666666667,0.22302158273381295,0.8992805755395683,0,0.1126,Low,0
PRV51089,228,197,72,18,210,1012.719298245614,230900,41000,82.0,0.40789473684210525,14.0,1.6929824561403508,198,115,75,70.64035087719299,0.008771929824561403,1.662280701754386,1.4342105263157894,1.5482456140350878,1.855263157894737,1.3333333333333333,1.1573604060913705,3.1666666666666665,0.07894736842105263,0.868421052631579,0,0.1839,Low,0
PRV51090,7,7,3,0,7,832.8571428571429,5830,3300,8.571428571428571,0.0,0.0,5.714285714285714,7,4,3,71.28571428571429,0.0,1.8571428571428572,1.7142857142857142,1.7142857142857142,1.5714285714285714,1.1428571428571428,1.0,2.3333333333333335,0.0,1.0,0,0.0003,Low,0
PRV51091,44,44,19,0,44,210.6818181818182,9270,2100,1.8181818181818181,0.0,0.0,0.9318181818181818,42,25,16,68.54545454545455,0.022727272727272728,1.7272727272727273,1.3409090909090908,1.6818181818181819,1.8863636363636365,1.3409090909090908,1.0,2.3157894736842106,0.0,0.9545454545454546,0,0.0055,Low,0
PRV51093,9,9,6,2,7,1523.3333333333333,13710,11000,237.33333333333334,1.3333333333333333,11.0,1.4444444444444444,8,8,5,75.33333333333333,0.0,1.6666666666666667,1.5555555555555556,1.5555555555555556,1.8888888888888888,1.3333333333333333,1.0,1.5,0.2222222222222222,0.8888888888888888,0,0.0009,Low,0
PRV51096,5,5,3,0,5,640.0,3200,2100,20.0,0.0,0.0,4.0,5,2,1,84.4,0.0,1.4,1.2,1.4,2.0,1.2,1.0,1.6666666666666667,0.0,1.0,0,0.0015,Low,0
PRV51097,125,71,1,0,125,355.36,44420,3500,1.84,0.0,0.0,1.744,115,68,47,70.4,0.0,1.624,1.592,1.664,1.856,1.28,1.7605633802816902,125.0,0.0,0.92,0,0.0014,Low,0
PRV51098,4,4,2,0,4,75.0,300,200,0.0,0.0,0.0,0.0,4,2,2,81.75,0.0,2.0,1.0,1.5,1.75,1.0,1.0,2.0,0.0,1.0,0,0.0007,Low,0
PRV51100,5,5,3,5,0,15600.0,78000,33000,1068.0,6.0,9.0,6.0,5,5,5,70.0,0.2,1.8,1.2,1.6,2.0,1.4,1.0,1.6666666666666667,1.0,1.0,0,0.007,Low,0
PRV51101,3,3,1,3,0,5533.333333333333,16600,13000,1068.0,3.3333333333333335,6.0,3.3333333333333335,3,3,3,56.333333333333336,0.0,1.3333333333333333,1.0,1.0,2.0,1.3333333333333333,1.0,3.0,1.0,1.0,0,0.002,Low,0
PRV51102,12,11,3,12,0,12333.333333333334,148000,47000,1068.0,4.0,10.0,4.0,12,12,10,79.58333333333333,0.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.9166666666666667,1.25,1.0909090909090908,4.0,1.0,1.0,0,0.0188,Low,0
PRV51103,6,4,2,0,6,73.33333333333333,440,200,10.0,0.0,0.0,0.0,6,2,0,76.5,0.0,1.5,1.3333333333333333,1.0,2.0,1.0,1.5,3.0,0.0,1.0,1,0.902,Critical,1
PRV51104,12,9,2,0,12,158.33333333333334,1900,700,9.166666666666666,0.0,0.0,1.1666666666666667,11,8,4,78.25,0.0,1.4166666666666667,1.1666666666666667,1.75,2.0,1.25,1.3333333333333333,6.0,0.0,0.9166666666666666,0,0.003,Low,0
PRV51105,12,12,2,0,12,545.0,6540,1800,0.0,0.0,0.0,3.3333333333333335,12,9,5,75.58333333333333,0.0,1.5,1.1666666666666667,1.4166666666666667,1.75,1.0833333333333333,1.0,6.0,0.0,1.0,0,0.0007,Low,0
PRV51108,19,19,6,19,0,8210.526315789473,156000,22000,1011.7894736842105,5.2631578947368425,16.0,5.2631578947368425,18,18,18,71.47368421052632,0.0,1.4210526315789473,1.3157894736842106,1.3157894736842106,1.7894736842105263,1.1578947368421053,1.0,3.1666666666666665,1.0,0.9473684210526315,0,0.0157,Low,0
PRV51109,3,3,1,3,0,6000.0,18000,8000,1068.0,6.333333333333333,9.0,6.333333333333333,3,3,3,55.666666666666664,0.0,1.3333333333333333,1.3333333333333333,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0,0.0031,Low,0
PRV51110,5,5,3,5,0,5400.0,27000,9000,1068.0,10.2,28.0,10.2,5,5,4,67.6,0.0,1.4,1.2,1.2,2.0,1.0,1.0,1.6666666666666667,1.0,1.0,0,0.0249,Low,0
PRV51111,132,85,4,0,132,415.6060606060606,54860,7010,1.5151515151515151,0.0,0.0,2.462121212121212,121,79,49,72.25,0.0,1.628787878787879,1.4545454545454546,1.4772727272727273,1.7954545454545454,1.2348484848484849,1.5529411764705883,33.0,0.0,0.9166666666666666,0,0.0094,Low,0
PRV51112,304,195,7,0,304,346.2171052631579,105250,4100,2.664473684210526,0.0,0.0,1.8453947368421053,246,130,85,70.79605263157895,0.03289473684210526,1.625,1.4375,1.569078947368421,1.861842105263158,1.2664473684210527,1.558974358974359,43.42857142857143,0.0,0.8092105263157895,0,0.0209,Low,0
PRV51113,132,78,2,0,132,351.43939393939394,46390,3300,4.166666666666667,0.0,0.0,1.5454545454545454,119,58,51,70.96212121212122,0.045454545454545456,1.6363636363636365,1.4772727272727273,1.5909090909090908,1.8863636363636365,1.2727272727272727,1.6923076923076923,66.0,0.0,0.9015151515151515,0,0.005,Low,0
PRV51114,262,160,5,0,262,292.82442748091603,76720,8200,2.1374045801526718,0.0,0.0,1.1984732824427482,212,98,63,69.89312977099236,0.022900763358778626,1.6564885496183206,1.366412213740458,1.6145038167938932,1.866412213740458,1.2290076335877862,1.6375,52.4,0.0,0.8091603053435115,0,0.0738,Low,0
PRV51115,7,6,3,0,7,140.0,980,600,2.857142857142857,0.0,0.0,0.0,7,4,2,72.28571428571429,0.0,1.5714285714285714,1.5714285714285714,1.7142857142857142,1.8571428571428572,1.1428571428571428,1.1666666666666667,2.3333333333333335,0.0,1.0,0,0.0005,Low,0
